categoria,m1,m2,m3,m4,m5,m6,m7
square,0.174441,0.00231484,1.05331e-08,1.79469e-07,7.49862e-15,8.59645e-09,2.15829e-15
square,0.16929,1.86438e-06,3.27314e-08,8.75075e-08,-3.49899e-15,-1.33743e-11,-3.11291e-15
square,0.170987,0.000507825,5.99562e-08,1.75004e-07,-1.14633e-14,3.81553e-09,-1.3782e-14
square,0.170501,0.000547435,1.19198e-07,4.62444e-08,-2.70467e-16,-7.41058e-10,-3.42271e-15
square,0.202766,0.0116448,1.6479e-08,6.50523e-08,-1.86256e-15,-2.51742e-09,1.03312e-15
square,0.172588,0.00124133,3.32214e-08,1.20268e-07,5.70168e-15,3.5829e-09,5.02827e-15
square,0.216226,0.0179502,1.36588e-07,2.32346e-08,1.0851e-15,3.066e-09,-7.31989e-16
square,0.171859,5.36234e-07,1.86037e-07,1.938e-07,-1.05263e-14,-6.25452e-11,3.52608e-14
square,0.177147,0.000530956,6.26225e-07,3.52601e-09,-1.58325e-16,-2.91415e-11,-4.8845e-17
square,0.173459,0.00142346,2.93861e-08,1.49012e-07,-7.73212e-15,-4.19367e-09,-6.11925e-15
square,0.171907,0.000481146,1.22806e-07,1.88928e-07,-2.82647e-14,-4.06618e-09,5.40974e-15
square,0.169879,3.57537e-06,2.02604e-09,1.15058e-07,2.10015e-16,-2.172e-10,-1.74412e-15
square,0.177976,0.000366159,7.26782e-08,7.54311e-08,-3.60058e-15,-8.41095e-10,-4.2695e-15
square,0.169275,0.000433605,5.55627e-07,1.19548e-07,-3.04349e-14,2.48937e-09,4.80015e-15
square,0.17651,1.2394e-05,4.48813e-07,1.73108e-08,8.14264e-16,-6.05493e-11,1.29041e-15
square,0.174573,0.000382503,1.29033e-07,3.26726e-08,1.00452e-15,5.1904e-10,-1.86852e-15
square,0.172233,0.0015488,1.95071e-08,6.9937e-10,1.52394e-18,1.71871e-11,-2.08578e-18
square,0.171459,0.0011971,5.1875e-08,8.16519e-09,1.4994e-16,1.9836e-10,7.5878e-17
square,0.178493,0.000407227,1.55695e-07,4.66069e-07,1.18209e-13,6.35205e-09,-4.22986e-14
square,0.167944,1.25224e-05,2.43605e-08,3.93548e-08,-8.42909e-16,-1.06111e-10,8.79971e-16
square,0.172251,0.0013195,1.81674e-08,9.4841e-08,2.60071e-15,2.0249e-09,2.95542e-15
square,0.171531,0.00163272,4.11269e-08,4.55407e-10,1.92024e-18,1.05885e-11,-4.43953e-19
square,0.171664,0.000438099,2.09404e-07,7.95112e-08,-2.40817e-15,1.3648e-09,9.97309e-15
square,0.167403,0.000123413,2.42533e-07,3.69897e-09,-1.05412e-16,7.56069e-12,3.41046e-17
square,0.173587,3.00539e-06,1.63341e-07,2.47266e-08,7.29401e-16,-3.41883e-11,-1.39188e-15
square,0.171882,0.000384466,1.16163e-08,5.97414e-08,-1.50838e-15,-1.12168e-09,-4.48997e-16
square,0.176656,0.000184197,7.17192e-08,5.41966e-07,-2.25917e-14,-7.15928e-09,-1.04435e-13
square,0.16824,6.12009e-05,2.74982e-07,3.29927e-08,-1.10447e-15,-2.32069e-10,2.94205e-15
square,0.17272,0.00127623,6.28888e-08,3.79666e-07,-1.87161e-14,-2.24339e-09,5.56008e-14
square,0.168049,8.68876e-07,6.68496e-12,8.27031e-10,-1.94453e-20,-7.70679e-13,-5.83385e-20
square,0.170041,0.000665165,4.77281e-08,3.15487e-08,-1.10036e-15,-8.07934e-10,5.36572e-16
square,0.170872,9.6905e-05,4.92854e-08,4.92064e-08,9.62627e-16,-4.79592e-10,2.22381e-15
square,0.16685,4.06261e-05,2.05439e-12,5.95217e-12,2.03037e-23,-2.0564e-14,-4.58014e-24
square,0.184613,0.00534537,2.10167e-08,9.54616e-08,3.86711e-15,-4.12877e-09,-1.82443e-15
square,0.170923,0.0012584,9.31428e-10,2.12052e-09,-2.93222e-18,-6.99994e-11,5.32401e-19
square,0.16755,2.21483e-07,5.73891e-08,9.36006e-09,1.98016e-16,1.19359e-12,8.86074e-17
square,0.169544,9.29455e-05,1.46578e-07,3.02426e-07,3.33637e-14,2.44991e-09,5.42333e-14
square,0.168109,6.70563e-06,2.43146e-08,2.56913e-08,5.20523e-17,4.83284e-11,-6.40003e-16
square,0.17337,0.000371707,1.16934e-06,9.48185e-08,-3.0462e-14,-1.48866e-10,-8.30026e-15
square,0.176573,0.00190656,6.64191e-08,1.28184e-07,-7.04928e-15,5.4816e-09,9.49733e-15
square,0.167819,7.24201e-06,4.00793e-08,1.76981e-08,-4.71042e-16,-2.04725e-11,-1.72327e-17
square,0.175417,0.0011711,8.60265e-07,3.83576e-08,6.95393e-15,-4.95642e-10,-4.38916e-16
square,0.168409,0.000253859,3.4711e-08,2.31697e-08,-5.52032e-16,-2.86575e-10,-3.56381e-16
square,0.169999,0.000895416,3.24098e-08,3.6648e-09,3.55213e-17,8.32402e-11,-1.82614e-17
square,0.17342,0.00100301,1.74317e-08,8.35214e-08,-2.88521e-15,1.76935e-09,1.35344e-15
square,0.172482,0.000154673,2.74173e-07,1.64349e-07,-5.95798e-15,6.08037e-10,3.43744e-14
square,0.191764,0.00675047,3.00786e-07,2.89769e-07,6.15732e-14,2.36004e-08,-5.93895e-14
square,0.174317,0.00216273,1.12163e-08,4.84624e-08,3.08167e-16,-1.29133e-09,1.08704e-15
square,0.174697,0.000218616,1.63734e-07,6.76111e-08,-1.20294e-15,9.72972e-10,7.01126e-15
square,0.171712,6.34845e-05,7.43654e-08,1.2387e-08,3.53694e-16,1.13671e-12,-1.27447e-16
square,0.180907,0.000304295,1.17098e-06,8.23598e-08,3.09639e-15,1.23611e-09,-2.53888e-14
square,0.168618,0.000610864,1.69403e-09,2.07772e-09,-3.89229e-18,-3.29691e-11,2.1065e-19
square,0.168843,0.000501365,1.78382e-06,1.28905e-08,-1.51717e-15,-2.78764e-10,-1.2325e-15
square,0.168239,0.000421653,3.9692e-09,1.48802e-08,-1.48406e-17,3.04149e-10,1.13391e-16
square,0.171257,0.000968793,4.39692e-08,1.48596e-07,4.48314e-15,5.95915e-10,1.11431e-14
square,0.187061,0.00684546,3.30494e-07,2.80103e-08,2.38521e-15,8.39963e-10,1.2545e-15
square,0.173225,8.2156e-05,4.93035e-07,2.79465e-07,-6.56984e-14,2.30742e-09,-8.02799e-14
square,0.172865,0.000235646,2.57603e-08,1.1892e-07,-6.28472e-15,-1.33102e-10,1.95561e-15
square,0.17092,0.000272268,1.55165e-07,1.67104e-07,-2.62147e-14,-5.65072e-11,6.06704e-15
square,0.167606,3.73641e-06,1.5344e-07,6.20079e-08,-1.1701e-15,-1.13019e-10,5.93413e-15
square,0.180986,0.00326298,2.30674e-07,4.5981e-09,-1.07176e-16,-2.60488e-10,1.04586e-16
square,0.174467,0.00171286,7.79248e-08,1.71212e-07,-1.29799e-14,-3.36315e-09,1.49202e-14
triangle,0.174106,0.00172261,7.4918e-07,1.48949e-07,3.5483e-14,-1.27338e-09,3.48807e-14
triangle,0.168094,1.72294e-05,1.73287e-07,4.98677e-08,4.62661e-15,-2.06248e-10,2.89635e-16
triangle,0.170276,0.000111794,2.52909e-07,7.72081e-08,-4.18772e-15,-3.72512e-10,9.94298e-15
triangle,0.169596,0.000323358,3.9224e-07,1.21814e-07,2.55805e-14,-2.00181e-09,-7.39168e-15
triangle,0.169373,0.00054195,1.91998e-07,3.66208e-08,-2.66049e-15,-3.4057e-10,-1.53334e-15
triangle,0.168006,0.0002297,2.26049e-09,7.46796e-09,-2.70564e-17,-5.21739e-11,-1.44716e-17
triangle,0.168998,0.000156033,3.74769e-07,1.05964e-07,-1.93305e-14,-7.89065e-10,-8.4987e-15
triangle,0.172695,0.000602014,1.15442e-06,1.0696e-08,-7.70076e-16,2.14965e-10,-9.0533e-16
triangle,0.171162,0.00131715,9.90274e-09,6.75177e-09,4.43046e-17,2.39931e-10,3.29403e-17
