categoria,Z0_0_mag,Z0_0_phase,Z1_-1_mag,Z1_-1_phase,Z1_1_mag,Z1_1_phase,Z2_-2_mag,Z2_-2_phase,Z2_0_mag,Z2_0_phase,Z2_2_mag,Z2_2_phase,Z3_-3_mag,Z3_-3_phase,Z3_-1_mag,Z3_-1_phase,Z3_1_mag,Z3_1_phase,Z3_3_mag,Z3_3_phase,Z4_-4_mag,Z4_-4_phase,Z4_-2_mag,Z4_-2_phase,Z4_0_mag,Z4_0_phase,Z4_2_mag,Z4_2_phase,Z4_4_mag,Z4_4_phase
square,18621,0,76.6589,-3.0441,76.6589,3.0441,171.584,-0.284037,282.038,3.14159,171.584,0.284037,30.6587,2.53389,80.149,-2.23019,80.149,2.23019,30.6587,-2.53389,62.2975,2.61037,51.2101,-2.34557,49.89,3.14159,51.2101,2.34557,62.2975,-2.61037
square,17401,0,111.034,-2.42085,111.034,2.42085,7.2292,0.0473883,370.403,3.14159,7.2292,-0.0473883,50.9994,-0.935815,45.6323,-1.85486,45.6323,1.85486,50.9994,0.935815,72.8317,-2.05128,46.1201,-0.0680736,5.74177,3.14159,46.1201,0.0680736,72.8317,2.05128
square,20473,0,90.4726,-0.715381,90.4726,0.715381,46.9649,-0.367959,233.202,3.14159,46.9649,0.367959,55.4929,-1.81715,86.8109,-3.01558,86.8109,3.01558,55.4929,1.81715,28.0416,-0.87435,48.4301,2.28109,80.0624,0,48.4301,-2.28109,28.0416,0.87435
square,24069,0,132.952,3.00161,132.952,-3.00161,167.051,-2.60539,443.086,3.14159,167.051,2.60539,59.7146,-2.22223,34.9495,2.91877,34.9495,-2.91877,59.7146,2.22223,55.5938,-2.81951,80.4518,-0.0553238,88.3093,3.14159,80.4518,0.0553238,55.5938,2.81951
square,23921,0,154.279,-2.26309,154.279,2.26309,30.4774,1.31797,192.878,3.14159,30.4774,-1.31797,54.735,1.72926,37.7911,2.90785,37.7911,-2.90785,54.735,-1.72926,18.6623,2.75027,64.4347,2.81188,6.13798,3.14159,64.4347,-2.81188,18.6623,-2.75027
square,19087,0,157.216,-0.647124,157.216,0.647124,76.9819,-3.12886,202.473,3.14159,76.9819,3.12886,39.681,-0.334376,33.2152,1.37411,33.2152,-1.37411,39.681,0.334376,31.1128,1.68846,91.1297,-2.87465,19.8313,0,91.1297,2.87465,31.1128,-1.68846
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,22749,0,211.986,-2.21459,211.986,2.21459,203.073,2.87739,332.833,3.14159,203.073,-2.87739,45.3813,-2.87836,87.8762,0.295,87.8762,-0.295,45.3813,2.87836,34.9049,3.04604,104.173,3.02643,174.523,0,104.173,-3.02643,34.9049,-3.04604
square,28618,0,183.624,-3.09784,183.624,3.09784,65.9355,3.00576,176.171,3.14159,65.9355,-3.00576,22.5507,-2.89151,37.092,2.99181,37.092,-2.99181,22.5507,2.89151,33.9498,-1.9162,26.0919,0.127529,8.25611,3.14159,26.0919,-0.127529,33.9498,1.9162
square,18848,0,84.5522,2.18281,84.5522,-2.18281,52.4876,-0.4188,67.7472,3.14159,52.4876,0.4188,0.369317,2.14762,41.2745,0.0718817,41.2745,-0.0718817,0.369317,-2.14762,15.4236,1.13509,16.6365,-0.0156619,22.27,0,16.6365,0.0156619,15.4236,-1.13509
square,18201,0,97.1839,2.88916,97.1839,-2.88916,86.6046,-0.871527,181.946,3.14159,86.6046,0.871527,54.2144,2.81125,12.3842,-0.981305,12.3842,0.981305,54.2144,-2.81125,47.1589,1.51367,41.4672,-2.04954,0.115707,3.14159,41.4672,2.04954,47.1589,-1.51367
square,21656,0,118.294,-1.91584,118.294,1.91584,60.6924,0.0588647,137.502,3.14159,60.6924,-0.0588647,55.6387,2.47678,22.6241,-2.46251,22.6241,2.46251,55.6387,-2.47678,16.1843,0.795155,8.46872,-1.57558,18.8967,0,8.46872,1.57558,16.1843,-0.795155
square,24784,0,206.548,-3.07818,206.548,3.07818,56.2584,-0.570139,241.614,3.14159,56.2584,0.570139,46.691,-2.47973,57.2385,-0.472001,57.2385,0.472001,46.691,2.47973,60.6195,-1.73753,92.7068,0.183682,70.2905,0,92.7068,-0.183682,60.6195,1.73753
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,7103,0,15.5282,-1.07894,15.5282,1.07894,14.5337,1.32559,6.52865,3.14159,14.5337,-1.32559,11.3874,2.35951,30.0718,2.93208,30.0718,-2.93208,11.3874,-2.35951,10.0653,-1.3785,11.5299,-1.7455,9.44308,3.14159,11.5299,1.7455,10.0653,1.3785
square,3.31419e+249,0,3.11913e+249,-1.32582,3.11913e+249,1.32582,2.93555e+249,-2.65164,2.55691e+249,0,2.93555e+249,2.65164,2.76277e+249,2.30573,2.05006e+249,-1.32582,2.05006e+249,1.32582,2.76277e+249,-2.30573,2.60017e+249,0.979915,1.59402e+249,-2.65164,1.3019e+249,0,1.59402e+249,2.65164,2.60017e+249,-0.979915
square,10497,0,96.6264,-1.24771,96.6264,1.24771,42.3788,1.49858,154.034,3.14159,42.3788,-1.49858,46.6264,0.775657,61.1676,-0.891564,61.1676,0.891564,46.6264,-0.775657,31.0371,0.29818,55.2868,-0.272161,55.1365,0,55.2868,0.272161,31.0371,-0.29818
square,33652,0,218.71,-2.83746,218.71,2.83746,117.189,2.5855,565.242,3.14159,117.189,-2.5855,123.239,2.02251,179.325,-0.87219,179.325,0.87219,123.239,-2.02251,328.112,-2.86956,230.565,-3.08316,237.99,3.14159,230.565,3.08316,328.112,2.86956
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,21541,0,148.957,2.98333,148.957,-2.98333,11.5238,2.41559,348.942,3.14159,11.5238,-2.41559,75.2879,3.12406,70.4456,2.55693,70.4456,-2.55693,75.2879,-3.12406,19.9786,-1.47089,18.6837,2.50194,39.2751,3.14159,18.6837,-2.50194,19.9786,1.47089
square,30036,0,35.6607,2.2314,35.6607,-2.2314,116.692,0.267804,236.331,3.14159,116.692,-0.267804,91.4423,-1.43525,253.733,0.713957,253.733,-0.713957,91.4423,1.43525,58.0278,-0.981653,43.5032,0.681569,311.652,0,43.5032,-0.681569,58.0278,0.981653
square,18696,0,143.716,2.65448,143.716,-2.65448,103.266,-2.39137,209.67,3.14159,103.266,2.39137,93.2929,-2.12591,32.0169,2.34188,32.0169,-2.34188,93.2929,2.12591,27.7297,-2.64268,36.1794,-0.636359,4.61024,3.14159,36.1794,0.636359,27.7297,2.64268
square,9522,0,38.1387,2.20436,38.1387,-2.20436,61.2589,-2.98391,184.543,3.14159,61.2589,2.98391,88.2734,-3.01077,79.4492,2.5669,79.4492,-2.5669,88.2734,3.01077,82.7022,-0.0176945,20.8357,-1.92472,130.482,0,20.8357,1.92472,82.7022,0.0176945
square,21630,0,126.146,-0.298567,126.146,0.298567,80.9346,0.130507,490.211,3.14159,80.9346,-0.130507,149.508,2.3567,143.183,2.90914,143.183,-2.90914,149.508,-2.3567,27.0879,-1.98269,17.5774,-1.77198,16.6951,0,17.5774,1.77198,27.0879,1.98269
square,23432,0,97.3592,-2.63078,97.3592,2.63078,82.7721,-0.511013,113.424,3.14159,82.7721,0.511013,41.828,0.674891,55.4337,-1.20291,55.4337,1.20291,41.828,-0.674891,39.7897,1.69143,35.2126,-0.327363,33.4238,0,35.2126,0.327363,39.7897,-1.69143
square,25143,0,73.9402,2.93639,73.9402,-2.93639,30.4642,-0.937976,46.217,3.14159,30.4642,0.937976,25.596,-2.73952,31.8812,0.457826,31.8812,-0.457826,25.596,2.73952,19.8465,1.62951,10.8877,0.510639,43.9459,0,10.8877,-0.510639,19.8465,-1.62951
square,6771,0,47.4978,-1.00043,47.4978,1.00043,64.2264,1.52234,26.5503,0,64.2264,-1.52234,50.4564,2.03744,36.8106,2.57164,36.8106,-2.57164,50.4564,-2.03744,42.9238,-1.63048,29.8542,-0.21563,65.1681,0,29.8542,0.21563,42.9238,1.63048
square,15641,0,21.1343,-1.09374,21.1343,1.09374,27.3406,-2.97474,100.898,3.14159,27.3406,2.97474,12.4548,2.69215,25.3982,-2.75475,25.3982,2.75475,12.4548,-2.69215,46.6769,-3.14157,36.6814,-2.91449,19.3856,3.14159,36.6814,2.91449,46.6769,3.14157
